SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2863,XRP,XRP,06/06/2021 23:59,0.9495324,0.91875968,0.92348092,0.94528629,2308242807,43625920335
2862,XRP,XRP,05/06/2021 23:59,0.99794697,0.89752881,0.96997903,0.92328578,3257149049,42610574444
2861,XRP,XRP,04/06/2021 23:59,1.0452713,0.92016741,1.04510574,0.97019603,4638523697,44775529764
2860,XRP,XRP,03/06/2021 23:59,1.07827517,1.00854876,1.02514565,1.04532119,3661357809,48242632209
2859,XRP,XRP,02/06/2021 23:59,1.0497459,0.98136508,1.01121407,1.02440033,3598008182,47277113120
2858,XRP,XRP,01/06/2021 23:59,1.09963865,0.97933673,1.04210205,1.01100086,5606414479,46658714117
2857,XRP,XRP,31/05/2021 23:59,1.04902159,0.88255551,0.90638442,1.04658407,6277821474,48293159732
2856,XRP,XRP,30/05/2021 23:59,0.93012743,0.79982496,0.83199443,0.90660881,4077064725,41834196844
2855,XRP,XRP,29/05/2021 23:59,0.93979238,0.79506977,0.89949546,0.83178801,5156278121,38381695413
2854,XRP,XRP,28/05/2021 23:59,0.98345998,0.84757099,0.97395242,0.90014845,6082828979,41536092428
2853,XRP,XRP,27/05/2021 23:59,1.042896,0.93561635,1.0335741,0.97023464,5204084865,44770121605
2852,XRP,XRP,26/05/2021 23:59,1.06694493,0.95010385,0.97583068,1.0337254,6376977398,47699814352
2851,XRP,XRP,25/05/2021 23:59,1.05784017,0.88382712,0.9940301,0.97618689,8637179369,45044780046
2850,XRP,XRP,24/05/2021 23:59,0.9985945,0.75859021,0.79316224,0.99283503,8239461926,45812985214
2849,XRP,XRP,23/05/2021 23:59,0.96734611,0.65225395,0.90651086,0.79701534,10816054413,36770599361
2848,XRP,XRP,22/05/2021 23:59,1.01533882,0.82644617,1.00957669,0.90631728,8750076614,41813285048
2847,XRP,XRP,21/05/2021 23:59,1.21592606,0.86954786,1.18118321,1.0069763,10998911191,46457226450
2846,XRP,XRP,20/05/2021 23:59,1.26844944,0.91181375,1.06153314,1.18553663,13626658452,54695173849
2845,XRP,XRP,19/05/2021 23:59,1.64437979,0.87531797,1.59327046,1.07031315,20523476458,37576904035
2844,XRP,XRP,18/05/2021 23:59,1.70220928,1.4769588,1.49410413,1.5907339,14847139298,55848005959
2843,XRP,XRP,17/05/2021 23:59,1.55932523,1.32827902,1.44920368,1.49630034,13573485606,52532601631
2842,XRP,XRP,16/05/2021 23:59,1.60798174,1.35151583,1.4874566,1.45260573,12405363634,50998556787
2841,XRP,XRP,15/05/2021 23:59,1.58247834,1.32481202,1.40170561,1.48588012,13321419261,52166765091
2840,XRP,XRP,14/05/2021 23:59,1.44222893,1.32454504,1.36334726,1.40291747,7570332417,49254085094
2839,XRP,XRP,13/05/2021 23:59,1.388924,1.20945694,1.27127315,1.35891006,12358993946,47709058585
2838,XRP,XRP,12/05/2021 23:59,1.54245329,1.24786361,1.47913626,1.24786361,9272699846,43810403721
2837,XRP,XRP,11/05/2021 23:59,1.48685968,1.36367565,1.39183542,1.47768244,7973181908,51878958424
2836,XRP,XRP,10/05/2021 23:59,1.62574078,1.25000258,1.53440728,1.38900575,11181774844,48765667888
2835,XRP,XRP,09/05/2021 23:59,1.59341471,1.44412707,1.5634791,1.53529288,8243079607,53901564262
